código,clave,descripción
100958,BACA-LX,"Larguero de bastidor calibre 14 para CAT-50X y 60X, EXPERT"
100959,M23S,"Manguera de succión y descarga 2' para motobomba, rollo 30m"
100961,D-1412-B,"Dado de 3/8', 12 puntas, cuadro 1/4', TRUPER"
100962,D-1414-B,"Dado de 7/16', 12 puntas, cuadro 1/4', TRUPER"
100965,D-1418-B,"Dado de 9/16', 12 puntas, cuadro 1/4', TRUPER"
100967,D-1414-M,"Dado de 14 mm, 6 puntas, cuadro 1/4', TRUPER"
100969,D-1405-LM,"Dado largo de 5 mm, 6 puntas, cuadro 1/4', TRUPER"
100974,D-1405-BM,"Dado de 5 mm, 12 puntas, cuadro 1/4', TRUPER"
100978,D-1406-BM,"Dado de 6 mm, 12 puntas, cuadro 1/4', TRUPER"
100979,D-1407-BM,"Dado de 7 mm, 12 puntas, cuadro 1/4', TRUPER"
100980,D-1408-BM,"Dado de 8 mm, 12 puntas, cuadro 1/4', TRUPER"
100981,D-1409-BM,"Dado de 9 mm, 12 puntas, cuadro 1/4', TRUPER"
100982,D-1410-BM,"Dado de 10 mm, 12 puntas, cuadro 1/4', TRUPER"
100984,D-1411-BM,"Dado de 11 mm, 12 puntas, cuadro 1/4', TRUPER"
100987,D-1413-BM,"Dado de 13 mm, 12 puntas, cuadro 1/4', TRUPER"
100989,TAMA-2N,"Taladro magnético 1-3/8', 1200W, TRUPER EXPERT"
100990,D-3810-HL,"Dado largo de 5/16', 6 puntas, cuadro 3/8', TRUPER"
100992,D-3807-HM-L,"Dado largo de 7 mm, 6 puntas, cuadro 3/8', TRUPER"
100994,D-3809-HM-L,"Dado largo de 9 mm, 6 puntas, cuadro 3/8', TRUPER"
100995,D-3820-HM-L,"Dado largo de 20 mm, 6 puntas, cuadro 3/8', TRUPER"
100996,D-3806-M,"Dado de 6 mm, 12 puntas, cuadro 3/8', TRUPER"
101001,D-1210-EL,"Dado largo de 5/16' 12 puntas, cuadro 1/2', TRUPER"
101002,D-1212-EL,"Dado largo de 3/8' 12 puntas, cuadro 1/2', TRUPER"
101003,D-1214-EL,"Dado largo de 7/16' 12 puntas, cuadro 1/2', TRUPER"
101006,D-1226-M,"Dado de 26 mm, 6 puntas, cuadro 1/2', TRUPER"
101007,D-1227-M,"Dado de 27 mm, 6 puntas, cuadro 1/2', TRUPER"
101008,D-1220-ML,"Dado largo de 20 mm, 6 puntas, cuadro 1/2', TRUPER"
101009,D-1221-ML,"Dado largo de 21 mm, 6 puntas, cuadro 1/2', TRUPER"
101010,D-1222-ML,"Dado largo de 22 mm, 6 puntas, cuadro 1/2', TRUPER"
101011,D-1223-ML,"Dado largo de 23 mm, 6 puntas, cuadro 1/2', TRUPER"
101012,D-1224-ML,"Dado largo de 24 mm, 6 puntas, cuadro 1/2', TRUPER"
101013,D-1225-ML,"Dado largo de 25 mm, 6 puntas, cuadro 1/2', TRUPER"
101014,D-1226-ML,"Dado largo de 26 mm, 6 puntas, cuadro 1/2', TRUPER"
101015,D-1227-ML,"Dado largo de 27 mm, 6 puntas, cuadro 1/2', TRUPER"
101016,D-3432-H,"Dado de 1', 6 puntas, cuadro 3/4', TRUPER"
101030,BACA-UT,Nariz de bastidor calibre 18 p/ carretillas TRUPER y PRETUL
101033,PET-6XA,"Llave ajustable (perico) 6' boca ancha Comfort Grip, EXPERT"
101034,PET-8XA,"Llave ajustable (perico) 8' boca ancha Comfort Grip, EXPERT"
101035,PET-10XA,"Llave ajustable (perico) 10' boca ancha Comfort Grip, EXPERT"
101036,PET-12XA,"Llave ajustable (perico) 12' boca ancha Comfort Grip, EXPERT"
101040,M33S,"Manguera de succión y descarga 3' para motobomba, rollo 30m"
101041,M43S,"Manguera de succión y descarga 4' para motobomba, rollo 30m"
101047,BAPA-J4,"Juego con 4 barras de palanca, TRUPER"
101072,TPN-875,"Esmeriladora angular neumática 4-1/2', TRUPER"
101080,PISO-400,"Pistola metálica para sopletear con gancho, TRUPER"
101089,CAPRI-18R,"Carrete con 12 m de cable primario rojo calibre 18, TRUPER"
101090,PIPI-450,"Pistola para pintar LVLP vaso plástico, 1.4 mm, TRUPER"
101091,PIPI-451,"Pistola para pintar LVLP vaso plástico, 1.7 mm, TRUPER"
101092,PIPI-452,"Pistola para pintar LVLP vaso plástico, 2.0 mm, TRUPER"
101101,NV-6X,"Navaja abatible 6' cuerpo de aluminio y acero inox, TRUPER"
101108,BS-6X110,"Broca SDS Plus 6 x 110 mm, TRUPER"
101109,BS-6X160,"Broca SDS Plus 6 x 160 mm, TRUPER"
101111,CAREL-913C,"Careta electrónica para soldar sombra 9-13, calavera, TRUPER"
101112,CAPRI-14R,"Carrete con 6 m de cable primario rojo calibre 14, TRUPER"
101113,CAPRI-14N,"Carrete con 6 m de cable primario negro calibre 14, TRUPER"
101114,CAPRI-12R,"Carrete con 3.5 m de cable primario rojo calibre 12, TRUPER"
101115,CAPRI-12N,"Carrete con 3.5 m de cable primario negro calibre 12, TRUPER"
101116,CAPRI-10R,"Carrete con 2.5 m de cable primario rojo calibre 10, TRUPER"
101117,CAPRI-10N,"Carrete con 2.5 m de cable primario negro calibre 10, TRUPER"
101119,CAU-25E,"Cautín 25 W profesional tipo lápiz para electrónica, TRUPER"
101120,CAPRI-18N,"Carrete con 12 m de cable primario negro calibre 18, TRUPER"
101121,CAPRI-16R,"Carrete con 9 m de cable primario rojo calibre 16, TRUPER"
101122,CAPRI-16N,"Carrete con 9 m de cable primario negro calibre 16, TRUPER"
101130,IMPER-S-X,"Gabardina impermeable triple capa, talla CH, TRUPER EXPERT"
101132,IMPER-L-X,"Gabardina impermeable triple capa, talla G, TRUPER EXPERT"
101133,IMPER-XL-X,"Gabardina impermeable triple capa, talla XG, TRUPER EXPERT"
101136,BUJI-MOTO,"Bujía para motobomba, TRUPER"
101137,BAYO-MOTO,"Kit de bayoneta y empaque para motobomba, TRUPER"
101138,TAPOG-MOTO,"Tapón de gasolina para motobomba, TRUPER"
101139,FILG-MOTO,"Filtro de gasolina para motobomba, TRUPER"
101172,EXT-500,"Extintor portátil recargable 0.5 kg, polvo tipo ABC, TRUPER"
101186,BRO-TR-12A,"Broquero 3/8' sin llave, para máquinas inalámbricas, TRUPER"
101193,BS-8X160,"Broca SDS Plus 8 x 160 mm, TRUPER"
101198,BS-10X260,"Broca SDS Plus 10 x 260 mm, TRUPER"
101200,BS-12X260,"Broca SDS Plus 12 x 260 mm, TRUPER"
101219,BADE-52,Bastón luminoso de 53 cm con luz LED y clip para cinturón
101220,RPLUS-4NX,"Rotomartillo SDS Plus 4 Joules, 1000W, TRUPER EXPERT"
101221,RPLUS-6NX,"Rotomartillo SDS Plus 6 Joules, 1100W, TRUPER EXPERT"
101231,HEX-C1,"Cincel plano zanco hexagonal de 1-3/8' x 20', TRUPER"
101232,HEX-C2,"Cincel pala zanco hexagonal de 3' x 16', TRUPER"
101234,BRO-TR-20,"Broquero 1/2' sin llave, para máquinas inalámbricas, TRUPER"
101237,SDM-C1,"Cincel plano SDS max 1' x 16', TRUPER"
101239,SDM-C4,"Cincel hueco para acanalado SDS max 7/8' x 16', TRUPER"
101242,CAZ-100BX,"Cortador azulejo 40' (100cm) gran formato c/maletín, EXPERT"
101246,D-1214-BC,"Dado punta corta bristol M14, cuadro 1/2', TRUPER"
101247,D-1216-BC,"Dado punta corta bristol M16, cuadro 1/2', TRUPER"
101248,D-1205-BL,"Dado punta larga bristol M5, cuadro 1/2', TRUPER"
101249,D-1206-BL,"Dado punta larga bristol M6, cuadro 1/2', TRUPER"
101262,SUS-CAX,Suspensión para protector facial con matraca TRUPER EXPERT
101274,D-1212-BC,"Dado punta corta bristol M12, cuadro 1/2', TRUPER"
101280,PICA-R,"Pistola calafateadora reforzada, TRUPER"
101281,MOHE-17,"Mochila Portaherramientas, TRUPER EXPERT"
101292,D-1205-BC,"Dado punta corta bristol M5, cuadro 1/2', TRUPER"
101293,D-1206-BC,"Dado punta corta bristol M6, cuadro 1/2', TRUPER"
101294,D-1208-BC,"Dado punta corta bristol M8, cuadro 1/2', TRUPER"
101295,D-1210-BC,"Dado punta corta bristol M10, cuadro 1/2', TRUPER"
101300,D-1208-BL,"Dado punta larga bristol M8, cuadro 1/2', TRUPER"
101301,D-1210-BL,"Dado punta larga bristol M10, cuadro 1/2', TRUPER"
101302,D-1212-BL,"Dado punta larga bristol M12, cuadro 1/2', TRUPER"
101303,D-1214-BL,"Dado punta larga bristol M14, cuadro 1/2', TRUPER"
101304,D-1216-BL,"Dado punta larga bristol M16, cuadro 1/2', TRUPER"
101320,CHA-B40,"Charola de acero inoxidable para báscula electrónica, TRUPER"
101321,EBA-BE,"Eliminador de baterías para báscula electrónica, TRUPER"
101322,PAJ-B40,Pata ajustable para báscula electrónica de mesa (40 kg)
101323,PAJ-BP8,"Pata ajustable para báscula electrónica de plataforma,8 mm"
101324,PAJ-BP10,"Pata ajustable para báscula electrónica de plataforma,10 mm"
101327,MOG-65,"Motor a gasolina 6.5 HP, TRUPER"
101328,MOG-90,"Motor a gasolina 9 HP, TRUPER"
101329,MOG-130,"Motor a gasolina 13 HP, TRUPER"
101330,LIRA-650,"Linterna LED recargable, de aluminio, 420 lm, TRUPER"
101381,LIRA-130,"Linterna LED recargable, de aluminio, 340 lm, TRUPER"
101386,E-16X24N,Escuadra 16'x24' de aluminio color naranja para cantero
101389,SPT-12P,"Serrucho de poda 12',hoja curva,6 DPP,mango plástico, TRUPER"
101393,R-ROPI-930X,"Felpa para rodillo 9x1-1/4' superficies extrarrugosas,EXPERT"
101394,R-ROPI-920X,"Felpa para rodillo 9' x 3/4' superficies rugosas, EXPERT"
101398,CAU-48ES,Cautín 48 W profesional para electrónica con estación
101400,PICA-C,"Pistola calafateadora con cremallera, TRUPER"
101428,COMP-KIT24S,"Kit compresor libre de aceite 24L, manguera y pistola,TRUPER"
101430,SPT-14P,"Serrucho de poda 14',hoja curva,6 DPP,mango plástico, TRUPER"
101445,CIAH-15T,Rollo 5 m cinta antiderrapante transp. 25mm p/áreas húmedas
101446,CIAH-25T,Rollo 5 m cinta antiderrapante transp. 50mm p/áreas húmedas
