código,clave,descripción
103473,CB-LIOR-1/4N2,"Bolsa con 2 carbones de repuesto para LIOR-1/4N2, TRUPER"
103474,SIRC-5,"Sierra ranuradora de concreto 5', 1500 W, TRUPER PRO"
103485,F1-DES-45M,"Filtro de fieltro de repuesto para DES-45M, TRUPER"
103486,F2-DES-45M,"Filtro de espuma de repuesto para DES-45M, TRUPER"
103487,CB-DES-45M,"Carburador para desbrozadora a gasolina DES-45M, TRUPER"
103488,DB-DES-45M,"Cabezal con carrete de repuesto para DES-45M, TRUPER"
103489,MS-DES-45M,"Cabezal con motosierra de repuesto para DES-45M, TRUPER"
103490,CS-DES-45M,"Cabezal con cortasetos de repuesto para DES-45M, TRUPER"
103491,F1-SOPLA-53,"Filtro 1 de repuesto para SOPLA-53, TRUPER"
103492,F2-SOPLA-53,"Filtro 2 de repuesto para SOPLA-53, TRUPER"
103493,CB-SOPLA-53,"Carburador para sopladora a gasolina SOPLA-53, TRUPER"
103494,CE-SOPLA-53,"Codo de empaque de repuesto para SOPLA-53, TRUPER"
103495,TC-SOPLA-53,"Tubo corrugado de repuesto para SOPLA-53, TRUPER"
103496,BU-SOPLA-53,"Bujía de repuesto para SOPLA-53, TRUPER"
103497,EX1-SOPLA-53,"Extensión 1 de repuesto para SOPLA-53, TRUPER"
103498,EX2-SOPLA-53,"Extensión 2 de repuesto para SOPLA-53, TRUPER"
103499,EX3-SOPLA-53,"Extensión 3 de repuesto para SOPLA-53, TRUPER"
103503,JLR-6,"Juego de 6 limas rotativas, TRUPER"
103504,CH-VICO-6,"Chicote 6 m para Vibrador de concreto, TRUPER"
103505,CB-VICO-55,"Carburador para vibrador de concreto VICO-55, TRUPER"
103506,FA-VICO-55,Filtro de aire para vibrador de concreto VICO-55. TRUPER
103507,TAPOA-VICO-55,"Tapón de aceite para VICO-55, TRUPER"
103508,TAPOG-VICO-55,"Tapón de gasolina para VICO-55, TRUPER"
103509,BAYO-VICO-55,"Bayoneta para VICO-55, TRUPER"
10351,SAPO-1,"Aspersor base metálica, tipo sapo de chorro fino, TRUPER"
103510,FA-BAI-55,"Filtro de aire para BAI-55, TRUPER"
103511,FU-BAI-55,"Fuelle de repuesto para BAI-55, TRUPER"
103512,CLU-BAI-55,"Clutch para BAI-55, TRUPER"
103513,TAN-BAI-55,"Tanque de gasolina para BAI-55, TRUPER"
103514,ZA-BAI-55,"Zapata con tornillería para BAI-55, TRUPER"
103515,CBJ-BAI-55,"Juego de carburador con juntas para BAI-55, TRUPER"
103517,PER-AHO-52,"Perno de barrena a ahoyadora para AHO-52, TRUPER"
103518,BA-10-AHO-52,"Barrena de 10 cm de diámetro para AHO-52, TRUPER"
103519,BA-20-AHO-52,"Barrena de 20 cm de diámetro para AHO-52, TRUPER"
103520,TAPG-AHO-52,"Tapón de gasolina para AHO-52, TRUPER"
103521,CB-AHO-52,"Carburador para ahoyadora a gasolina AHO-52, TRUPER"
103522,INT-AHO-52,"Interruptor de repuesto para AHO-52, TRUPER"
103552,IMP-1/2A,"Llave de impacto 1/2' 550W, 258 lb/ft, TRUPER PRO"
103556,CE-BOS-1/2LM-2,"Caja de control para bomba tipo bala 1/2 HP, 220V, TRUPER"
103559,CE-BOS-2LM-2,"Caja de control para bomba tipo bala 2 HP, 220V, TRUPER"
103570,PCR-6,"Pinza de corte al ras 6' mango de PVC, TRUPER"
103572,CE-BOS-5-1/2LM-2,"Caja de control para bomba tipo bala 5 1/2HP, 220V, TRUPER"
103573,"EMFD-1,2","Empaques de repuesto para FDO-1,2, TRUPER"
103574,EMFD-2X,"Empaques de repuesto para FDO-2X, TRUPER EXPERT"
103575,DIA-250AE,"Diablo de carga de aluminio con base abatible 250 kg, TRUPER"
103576,STJ-12,"Serrucho tipo japonés de 12' mango comfort grip, TRUPER"
103598,TA-5X,"Tornillo de banco 5' industrial de hierro dúctil, EXPERT"
103599,TA-6X,"Tornillo de banco 6' industrial de hierro dúctil, EXPERT"
103600,EST-7,"Estante plástico uso rudo 7 rep/cap. 70 Kg, 185x43x91,TRUPER"
103611,PAD-PULA-5A,"Respaldo de 5' hook and loop para PULA-6A, TRUPER"
103612,REP-DES-45M,"Repuesto de carrete con hilo para DES-45M, TRUPER"
103613,CU-DES-45M,"Cuchilla de repuesto para DES-45M, TRUPER"
103620,TA-8X,"Tornillo de banco 8' industrial de hierro dúctil, EXPERT"
103623,AD-CU-PODI-40A,"Adaptador de cuchillas de repuesto para PODI-40A, TRUPER"
103624,CU-PODI-40A,"Cuchilla de repuesto para PODI-40A, TRUPER"
103625,BOL-PODI-40A,"Bolsa para pasto de repuesto para PODI-40A, TRUPER"
103633,COL14-ROUI-20A,"Collet de 1/4' para ROUI-20A, TRUPER"
103634,LL-ROUI-20A,"Juego de llaves para ROUI-20A, TRUPER"
103635,BASE-LIRI-20A,"Base hook and loop para LIRI-20A, TRUPER"
103636,JBR-ESMI-20A,"Juego de bridas para ESMI-20A, TRUPER"
103637,REP-DESI-40A,"Repuesto de carrete con hilo para DESI-40A, TRUPER"
103639,MAX-20EP,"Esmeriladora 4-1/2', 20V, int. paleta, 1 batería 4Ah, MAX"
103640,MAX-20EPS,"Esmeriladora 4-1/2' 20V, int. paleta, s/accesorios, MAX"
103643,TA-5-M,"Tornillo de banco 5' multipropósito de hierro dúctil, TRUPER"
103646,M17DC,Rollo de manguera plana 1' x 7.5m de descarga con conexiones
103647,M157DC,Rollo de manguera plana 1.5'x7.5m de descarga con conexiones
103648,M27DC,Rollo de manguera plana 2' x 7.5m de descarga con conexiones
103649,M37DC,Rollo de manguera plana 3' x 7.5m de descarga con conexiones
10366,EST-8,"Estaca metálica universal 8' dos vías, para aspersor, TRUPER"
103663,MAX-CA-2,"Cargador de baterías 20V, enchufe tipo C, TRUPER MAX"
103664,MAX-CA2-2,"Cargador dual de baterías 20V, enchufe tipo C, TRUPER MAX"
103665,FILE-ASD-120,"Filtro de esponja para aspiradora ASD-120, TRUPER"
103666,FILE-ASD-150,"Filtro de esponja para aspiradora ASD-150, TRUPER"
103668,SE-PRE-1/6R,"Sensor de flujo, repuesto para bomba presurizadora PRE-1/6R"
103669,SE-PRE-1/3,"Sensor de flujo, repuesto para bomba presurizadora PRE-1/3"
103695,DID-740,"Disco de diamante 4', corte de vidrio, TRUPER"
10370,CAS-B,"Casco de seguridad, ajuste de matraca, blanco, TRUPER"
10371,CAS-Z,"Casco de seguridad, ajuste de matraca, azul, TRUPER"
103718,ROTO-1/2N9,"Rotomartillo/destornillador 1/2', 800W, TRUPER INDUSTRIAL"
10373,CAS-R,"Casco de seguridad, ajuste de matraca, rojo, TRUPER"
103733,BOS-1/2SP,"Bomba sumergible plástica, 1/2 HP para agua sucia, TRUPER"
103734,CLICK-AU,"Adaptador unión 3/4' rápido de ABS, sistema click, TRUPER"
103738,CAZE-4-1/2N,"Cortadora para azulejos, 4-1/2', 1500W, TRUPER INDUSTRIAL"
103739,CB-MEZ-140A,"Bolsa con 2 carbones de repuesto para MEZ-140A, TRUPER"
10374,CAS-V,"Casco de seguridad, ajuste de matraca, verde, TRUPER"
103740,SICI-7-1/4N5,"Sierra circular 7-1/4' 1900W, TRUPER INDUSTRIAL"
103741,SME-10S,"Sierra de mesa 10', 2-1/2 HP (1900 W), TRUPER"
103742,HVE-2,"Hacha cazadora 2 lb, mango de nylon 17', TRUPER VELOCITY"
103750,CAIN-12,"Caja de inglete con serrucho de costilla 12', TRUPER"
103760,INT-MEZ-140A,"Interruptor de repuesto para MEZ-140A, TRUPER"
103762,CRM-1,Juego de conexiones rápidas para manguera 1' para motobomba
103764,CRM-2,Juego de conexiones rápidas para manguera 2' para motobomba
103765,CRM-3,Juego de conexiones rápidas para manguera 3' para motobomba
103766,CRM-4,Juego de conexiones rápidas para manguera 4' para motobomba
103767,RED-M04,"Red de carga de 40 cm x 40 cm para motocicleta, TRUPER"
103779,BOAP-1/2A2C,"Bomba periférica 1/2HP, control auto, uso agrícola, TRUPER"
103780,CB-ROEL-60A,"Bolsa con 2 carbones de repuesto para ROEL-60A, TRUPER"
103782,INT-ROEL-60A,"Interruptor de repuesto para ROEL-60A, TRUPER"
103783,INT-LIPA-9A,"Interruptor de repuesto para LIPA-9A, TRUPER"
103784,CB-LIPA-9A,"Bolsa con 2 carbones de repuesto para LIPA-9A, TRUPER"
103785,BASE-LIPA-9A,"Base hook and loop para LIPA-9A, TRUPER"
103786,MAN-LIPA-9A,"Manguera de repuesto para LIPA-9A, TRUPER"
103789,DID-350,"Disco de diamante 5' para ranuradora de concreto, TRUPER"
103790,CB-ROTO-1/2N9,"Bolsa con 2 carbones de repuesto para ROTO-1/2N9, TRUPER"
103791,INT-ROTO-1/2N9,"Interruptor de repuesto para ROTO-1/2N9, TRUPER"
103792,CJ-ROTO-1/2N9,"Caja de empaque de repuesto para ROTO-1/2N9, TRUPER"
103803,RE-PIPI-20P,"Repuestos de pistola para pintar, PIPI-20P, TRUPER"
103805,RED-E10,"Red de carga de 1 m x 1 m para porta equipaje, TRUPER"
103814,PIPEI-5/16,"Pistola inalámbrica de 3.7V para silicón de 5/16', TRUPER"
103815,CB-SICI-7-1/4N5,"Bolsa con 2 carbones de repuesto para SICI-7-1/4N5, TRUPER"
103816,INT-SICI-7-1/4N5,"Interruptor de repuesto para SICI-7-1/4N5, TRUPER"
103817,MOTO-KIT-51,"Kit de accesorios para herramienta rotativa, 51 pzas, TRUPER"
103818,CB-ASD-120,"Bolsa con 2 carbones de repuesto para ASD-120, TRUPER"
103819,CB-ASD-180,"Bolsa con 2 carbones de repuesto para ASD-180, TRUPER"
103820,GU-814,"Guantes de neopreno p/manejo de químicos, XG, TRUPER"
103821,CB-LIRO-5N2,"Bolsa con 2 carbones de repuesto para LIRO-5N2, TRUPER"
103822,BASE-LIRO-5N2,"Base hook and loop para LIRO-5N2, TRUPER"
103823,PINT-LIRO-5N2,"Capuchón protector para interruptor de LIRO-5N2, TRUPER"
103824,FIL-LIRO-5N2,"Filtro recolector para LIRO-5N2, TRUPER"
103826,GU-154,"Guantes de poliéster con recubrimiento de nitrilo, XG TRUPER"
103835,GU-110,"Guantes de nylon recubiertos de poliuretano, XCH, TRUPER"
103836,GU-114,"Guantes de nylon recubiertos de poliuretano, XG, TRUPER"
103840,CB-LIRO-5A2,"Bolsa con 2 carbones de repuesto para LIRO-5A2, TRUPER"
103841,BASE-LIRO-5A2,"Base hook and loop para LIRO-5A2, TRUPER"
103842,PINT-LIRO-5A2,"Capuchón protector para interruptor de LIRO-5A2, TRUPER"
103843,RP-LIRO-5A2,"Recolector de polvo para LIRO-5A2, TRUPER"
103846,BUJ-GEN-200,"Bujía para generador silencioso GEN-200, TRUPER"
103852,EMR-PIPI-40,"Juego de Resortes y Empaques para PIPI-401/402/403, TRUPER"
103854,BTA-PIPI-401,"Juego de Boquilla, Aguja y Tobera para PIPI-401, TRUPER"
103856,BTA-PIPI-402,"Juego de Boquilla, Aguja y Tobera para PIPI-402, TRUPER"
103857,BTA-PIPI-403,"Juego de Boquilla, Aguja y Tobera para PIPI-403, TRUPER"
103858,CB-IMP-1/2A,"Bolsa con 2 carbones de repuesto para IMP-1/2A, TRUPER"
103859,INT-IMP-1/2A,"Interruptor de repuesto para IMP-1/2A, TRUPER"
103860,EMR-PIPI-44,Juego de Resortes y Empaques para PIPI-440/441/442 TRUPER
103861,BTA-PIPI-440,"Juego de Boquilla, Aguja y Tobera para PIPI-440, TRUPER"
103862,BTA-PIPI-441,"Juego de Boquilla, Aguja y Tobera para PIPI-441, TRUPER"
103863,BTA-PIPI-442,"Juego de Boquilla, Aguja y Tobera para PIPI-442, TRUPER"
103866,GU-120,"Guantes de nylon recubiertos de nitrilo, XCH, TRUPER"
103867,GU-124,"Guantes de nylon recubiertos de nitrilo, XG, TRUPER"
103868,GU-130,"Guantes de nylon recubiertos de nitrilo arenoso, XCH, TRUPER"
103869,GU-134,"Guantes de nylon recubiertos de nitrilo arenoso, XG, TRUPER"
103871,GU-414,"Guantes de poliéster recubiertos de látex, XG, TRUPER"
103878,TOPE-180,"Tope de 180 cm para estacionamiento, TRUPER"
103879,BCD-1,"Broca para centrar con doble punta #1, TRUPER"
103890,EMR-PIPI-400,"Juego de Resortes y Empaques para PIPI-400, TRUPER"
103891,BTA-PIPI-400,"Juego de Boquilla, Aguja y Tobera para PIPI-400, TRUPER"
103892,EMR-PIPI-411,"Juego de Resortes y Empaques para PIPI-411, TRUPER"
103893,BTA-PIPI-411,"Juego de Boquilla, Aguja y Tobera para PIPI-411, TRUPER"
103894,EMR-PIPI-42,"Juego de Resortes y Empaques para PIPI-420/421/422, TRUPER"
103895,BTA-PIPI-420,"Juego de Boquilla, Aguja y Tobera para PIPI-420, TRUPER"
103896,BTA-PIPI-421,"Juego de Boquilla, Aguja y Tobera para PIPI-421, TRUPER"
103897,BTA-PIPI-422,"Juego de Boquilla, Aguja y Tobera para PIPI-422, TRUPER"
103898,EMR-PIPI-410,"Juego de Resortes y Empaques para PIPI-410, TRUPER"
103899,BTA-PIPI-410,"Juego de Boquilla, Aguja y Tobera para PIPI-410, TRUPER"
103900,BCD-2,"Broca para centrar con doble punta #2, TRUPER"
103901,BCD-3,"Broca para centrar con doble punta #3, TRUPER"
103902,BCD-4,"Broca para centrar con doble punta #4, TRUPER"
103903,BCD-5,"Broca para centrar con doble punta #5, TRUPER"
103904,BCD-6,"Broca para centrar con doble punta #6, TRUPER"
103905,BCD-7,"Broca para centrar con doble punta #7, TRUPER"
103906,BCD-8,"Broca para centrar con doble punta #8, TRUPER"
103907,PIPE-1/2-G,"Pistola eléctrica de 80W para silicón de 1/2', 127V, TRUPER"
103908,PIPE-5/16-C,"Pistola eléctrica de 10W para silicón de 5/16', 127V, TRUPER"
103909,CB-CAZE-4-1/2N,"Bolsa con 2 carbones de repuesto para CAZE-4-1/2N, TRUPER"
103910,EMR-PIPI-45,"Juego de Resortes y Empaques para PIPI-450/451/452, TRUPER"
103911,BTA-PIPI-450,"Juego de Boquilla, Aguja y Tobera para PIPI-450, TRUPER"
103912,BTA-PIPI-451,"Juego de Resortes y Empaques para PIPI-451, TRUPER"
103913,BTA-PIPI-452,"Juego de Boquilla, Aguja y Tobera para PIPI-452, TRUPER"
103914,EMR-PIPI-300,"Juego de Resortes y Empaques para PIPI-300, TRUPER"
103915,BTA-PIPI-300,"Juego de Boquilla, Aguja y Tobera para PIPI-300, TRUPER"
103916,EMR-PIPI-310,"Juego de Resortes y Empaques para PIPI-310, TRUPER"
103917,BTA-PIPI-310,"Juego de Boquilla, Aguja y Tobera para PIPI-310, TRUPER"
103918,EMR-PIPI-320,"Juego de Resortes y Empaques para PIPI-320, TRUPER"
103919,BTA-PIPI-320,"Juego de Boquilla, Aguja y Tobera para PIPI-320, TRUPER"
103921,INT-CAZE-4-1/2N,"Interruptor de repuesto para CAZE-4-1/2N, TRUPER"
103922,CB-MOTB-14,"Carburador para motobomba MOTB-14, TRUPER"
103923,CB-ASD-150,"Bolsa con 2 carbones de repuesto para ASD-150, TRUPER"
103924,JBMS-6,"Juego de 6 brocas helicoidales con sierra, TRUPER"
103925,GU-445,"Guantes de algodón con puntos de PVC en palma y dorso,TRUPER"
103930,EMR-PIPI-330,"Juego de Resortes y Empaques para PIPI-330, TRUPER"
103931,BTA-PIPI-330,"Juego de Boquilla, Aguja y Tobera para PIPI-330, TRUPER"
103938,BOR-PULA-P,"Borla 100% lana de 10', fijación de jareta, TRUPER"
103939,MAN-1/4X3N,"Manguera de Nivel, 1/4', rollo de 3m, TRUPER"
103947,MAN-03X3/4RS,"Manguera de jardín 3/4', 3 capas, 3m, sin conexiones, TRUPER"
103948,MAN-06X3/4RS,"Manguera de jardín 3/4', 3 capas, 6m, sin conexiones, TRUPER"
103949,MAN-10X3/4RS,"Manguera de jardín 3/4', 3 capas, 10m, sin conexiones TRUPER"
103957,CZN-26,"Cazanga 26', sin mango, TRUPER"
103958,CZN-20,"Cazanga 20', sin mango, TRUPER"
103960,ADP-M14,"Juego 2 adaptadores para borlas doble cara, M14, TRUPER"
103961,ADP-5/8,"Juego 2 adaptadores para borlas doble cara, 5/8'-11, TRUPER"
103976,PPS-CH,"Playera protección solar, manga larga, hombre, CH, TRUPER"
103977,PPS-M,"Playera protección solar, manga larga, con gorro, hombre, M"
103978,PPS-G,"Playera protección solar, manga larga, con gorro, hombre, G"
103986,CHS-800A-M,"Chaleco seguridad reforzado azul con bolsas, M, EXPERT"
103989,CHS-800NE-M,"Chaleco seguridad reforzado negro con bolsas, M, EXPERT"
104004,BOR-PULA-9PL,Borla para pulir 50% lana/50% poliéster de 9' hook and loop
104005,BOR-PULA-8D,"Borla para pulir de lana trenzada de 8' doble cara, TRUPER"
104006,BOR-PULA-9PD,Borla para pulir 50% lana/50% poliéster de 9' doble cara
104007,BOR-PULA-8PD,Borla para pulir 50% lana/50% poliéster de 8' doble cara
104009,CARBA-4,"Cargador / mantenedor de 4 A para baterías de 6V/12V, TRUPER"
104010,CARBA-8,"Cargador / mantenedor de 8A para baterías de 12V/24V, TRUPER"
104011,CARBA-100,"Cargador de baterías 20 A, arrancador de 100A, 12V/24V"
104012,CB-MOTO-A3,"Bolsa con 2 carbones de repuesto para MOTO-A3, TRUPER"
104013,INT-MOTO-A3,"Interruptor de repuesto para MOTO-A3, TRUPER"
104018,MAX-CA3,"Cargador rápido de baterías de ion litio 20V, TRUPER MAX"
104021,CARBA-320,"Cargador de baterías 52 A, arrancador de 320A, 12V/24V"
104028,BUJ-GEN-350,"Bujía para generadores GEN-350/351, TRUPER"
104032,JGO-OR2,"Juego de opresores para resorte de amortiguador, TRUPER"
104037,JGO-OP22,"Juego de opresores para pistón de frenos, 22 piezas, TRUPER"
104039,PPHI-16,"Pinza ponchadora hidráulica 16 toneladas, TRUPER"
104040,GU-723,"Guantes de piel de cabra, tipo operador, CH, TRUPER"
104041,GU-724,"Guantes de piel de cabra, tipo operador, M, TRUPER"
104042,GU-726,"Guantes de piel de cabra, tipo operador, XG, TRUPER"
104046,HIDR-3/4X24,"Equipo hidroneumático 24L, jet inoxidable 3/4 HP, TRUPER"
104047,HIDR-3/4X50,"Equipo hidroneumático 50L, jet inoxidable 3/4 HP, TRUPER"
104050,MAN-1/4X10N,"Manguera de Nivel, 1/4', rollo de 10m, TRUPER"
104051,MAN-1/4X20N,"Manguera de Nivel, 1/4', rollo de 20m, TRUPER"
104052,MAN-5/16X3N,"Manguera de Nivel, 5/16', rollo de 3m, TRUPER"
104053,MAN-5/16X10N,"Manguera de Nivel, 5/16', rollo de 10m, TRUPER"
104054,MAN-5/16X20N,"Manguera de Nivel, 5/16', rollo de 20m, TRUPER"
104055,MAN-3/8X3N,"Manguera de Nivel, 3/8', rollo de 3m, TRUPER"
104056,MAN-3/8X10N,"Manguera de Nivel, 3/8', rollo de 10m, TRUPER"
104057,MAN-3/8X20N,"Manguera de Nivel, 3/8', rollo de 20m, TRUPER"
104059,BAB-3/8X6,"Broca auger tipo berbiquí 3/8' X 6', TRUPER"
104060,BAB-1/2X6,"Broca auger tipo berbiquí 1/2' X 6', TRUPER"
104061,BAB-5/8X6,"Broca auger tipo berbiquí 5/8' X 6', TRUPER"
104062,BAB-3/4X6,"Broca auger tipo berbiquí 3/4' X 6', TRUPER"
104063,BAB-7/8X6,"Broca auger tipo berbiquí 7/8' X 6', TRUPER"
104067,BAB-3/8X18,"Broca auger tipo berbiquí 3/8' X 18', TRUPER"
104068,BAB-1/2X18,"Broca auger tipo berbiquí 1/2' X 18', TRUPER"
104069,BAB-5/8X18,"Broca auger tipo berbiquí 5/8' X 18', TRUPER"
104070,BAB-3/4X18,"Broca auger tipo berbiquí 3/4' X 18', TRUPER"
104071,BAB-13/16X18,"Broca auger tipo berbiquí 13/16' X 18', TRUPER"
104072,BAB-7/8X18,"Broca auger tipo berbiquí 7/8' X 18', TRUPER"
104079,INT-SME-10,Interruptor de repuesto para sierras de mesa SME-10B/S/BP
104082,CUA-CH,"Cubierta para autos chicos, 1.8 x 4.6 x 1.2 m, TRUPER"
104083,CUA-M,"Cubierta para autos medianos, 1.8 x 5.0 x 1.2 m, TRUPER"
104084,CUA-G,"Cubierta para autos grandes, 1.8 x 5.7 x 1.2 m, TRUPER"
104086,INT-SIRC-5,"Interruptor de repuesto para SIRC-5, TRUPER"
104087,CB-SIRC-5,"Bolsa con 2 carbones de repuesto para SIRC-5, TRUPER"
104088,VASO-500,"Vaso plástico de repuesto para PIPI-501/502/503, TRUPER"
104089,RE-PIPI-501,"Repuestos de pistolas para pintar PIPI-501, TRUPER"
104090,RE-PIPI-502,"Repuestos de pistolas para pintar PIPI-502, TRUPER"
104091,RE-PIPI-503,"Repuestos de pistolas para pintar PIPI-503, TRUPER"
104101,M-HN-1X80,"Membrana p/hidroneumático HIDR-1X80, TRUPER"
104106,BUJ-GEN-201,"Bujía para generador silencioso GEN-201, TRUPER"
104110,PI-CLNE-70,"Pistón guía para clavadora neumática CLNE-70, TRUPER"
104111,NL-16,"Nivel láser verde, alcance 30m,16 líneas, recargable, TRUPER"
104116,TAC-100,"Tapón auditivo desechable con cordón, caja 100 pz"
104119,CJ-BAS-600PLA,"Caja de empaque de repuesto para BAS-600PLA, TRUPER"
104122,INT-SOPLA-960,"Interruptor de repuesto para SOPLA-960, TRUPER"
104123,INT-SOPLA-1440,"Interruptor de repuesto para SOPLA-1440, TRUPER"
104124,BA-MOT-2510T,"Barra de repuesto 10' p/motosierra MOT-2510T, TRUPER"
104125,CA-MOT-2510T,"Cadena de repuesto 10' p/motosierra MOT-2510T, TRUPER"
104126,CB-MOT-2510T,"Carburador con juntas para MOT-2510T, TRUPER"
104127,FG-MOT-2510T,"Filtro de gasolina para MOT-2510T, TRUPER"
104128,FA-MOT-2510T,"Filtro de aire para MOT-2510T, TRUPER"
104129,BUJ-MOT-2510T,"Bujía para MOT-2510T, TRUPER"
104137,CJ-ES-4590N,"Caja de empaque de repuesto p/ ESMA-4590N, TRUPER INDUSTRIAL"
104138,CJ-ES-9N3,"Caja de empaque de repuesto para ESMA-9N3, TRUPER INDUSTRIAL"
104139,CJ-ER-45110,"Caja de empaque de repuesto para ERGO-45110, TRUPER"
104143,CB-MULH-35A,"Bolsa con 2 carbones de repuesto para MULH-35A, TRUPER"
104144,LL-SIRC-5,"Llave de repuesto para ranuradora de concreto SIRC-5, TRUPER"
104146,INT-ROEL-50N2N,"Interruptor de repuesto para ROEL-50N2, TRUPER"
104147,FILH-ASPI-20A,"Filtro de HEPA para aspiradora ASPI-20A, TRUPER"
104148,INT-ROEL-60N2,"Interruptor de repuesto para ROEL-60N, TRUPER"
104150,FIL-ASP-12,"Juego de filtros para ASP-12V2, TRUPER"
104151,CJ-COMP-50Q,"Caja de empaque de repuesto para COMP-50Q, TRUPER"
104152,CJ-CPB-180,"Caja de empaque de repuesto para CPB-180, TRUPER"
104153,CB-GEN-60D,"Bolsa con 2 carbones de repuesto para GEN-60D, TRUPER"
104155,CB-LAGAS-33,"Juego de carburador con juntas para LAGAS-33, TRUPER"
104156,CB-LAGAS-28,"Juego de carburador con juntas para LAGAS-28, TRUPER"
104160,CJ-ROEL-60N,"Caja de empaque de repuesto para ROEL-60N, TRUPER INDUSTRIAL"
104161,AR-DES,"Arnés para desbrozadoras DES-63/520/430/330/52P/45M, TRUPER"
104162,MAN-ASPI-20A,"Manguera para aspiradora ASPI-20A, TRUPER"
104165,CHS-950N-M,"Chaleco brigadista reforzado, naranja, M, TRUPER EXPERT"
104168,CHS-950AR-M,"Chaleco brigadista reforzado, azul rey, M, TRUPER EXPERT"
104175,CHS-950AM-M,"Chaleco brigadista reforzado, azul marino, M, TRUPER EXPERT"
10434,AB-GT-26,"Abrazadera para mango de madera para guadaña, TRUPER"
10447,INCO-100,"Inversor de corriente de 120 W con puertos USB, TRUPER"
10448,INCO-200,"Inversor de corriente de 200 W con puertos USB, TRUPER"
10449,INCO-400,"Inversor de corriente de 400 W con puertos USB, TRUPER"
10490,INCO-750,"Inversor de corriente de 750 W con puertos USB, TRUPER"
10491,INCO-1000,"Inversor de corriente de 1200 W con puertos USB, TRUPER"
10492,INCO-1500,"Inversor de corriente de 1500 W con puertos USB, TRUPER"
10499,TABU-2,"Taburete de 2 peldaños, TRUPER"
10540,ADC-5/8,"Adaptador para discos abrasivos 7' a 9', tipo 41, 5/8-11-NC"
10541,ADC-M14,"Adaptador para discos abrasivos 7' a 9', tipo 41, M14-2 mm"
10542,ADT27-5/8,"Adaptador para discos abrasivos 7' a 9', tipo 42, 5/8-11-NC"
10543,ADT27-M14,"Adaptador para discos abrasivos 7' a 9', tipo 42, M14-2 mm"
10544,ADC-MINI,"Adaptador para discos abrasivos 4' y 4-1/2', tipo 42, 5/8-11"
10546,EXTF-36,"Extensión de fibra de vidrio para rodillo, 3.6 m, TRUPER"
10554,MAC-18,"Martillo cabeza cónica 18 mm uña curva, mango madera, TRUPER"
10557,MAC-23,"Martillo cabeza cónica 23 mm uña curva, mango madera, TRUPER"
10558,MAC-25,"Martillo cabeza cónica 25 mm uña curva, mango madera, TRUPER"
10559,ATJ-F,"Azadón jardinero, mango fibra de vidrio de 60', TRUPER"
10560,MAC-27,"Martillo cabeza cónica 27 mm uña curva, mango madera, TRUPER"
10561,MAC-29,"Martillo cabeza cónica 29 mm uña curva, mango madera, TRUPER"
10600,AL-0,"Azadón Lane No. 0 de 1.6 lb, sin mango, TRUPER"
10609,AL-3,"Azadón Lane No. 3 de 2.1 lb, sin mango, TRUPER"
10612,AL-0M,"Azadón Lane No. 0 de 1.6 lb, mango de fibra 54', TRUPER"
10615,AL-1M,"Azadón Lane No. 1 de 1.8 lb, mango de fibra 54', TRUPER"
10618,AL-2M,"Azadón Lane No. 2 de 2.0 lb, mango de fibra 54', TRUPER"
10621,AL-3M,"Azadón Lane No. 3 de 2.1 lb, mango de fibra 54', TRUPER"
10652,JCEA-3,"Juego de 3 minicepillos de alambre 28 pinceles, TRUPER"
10656,CEA-54I,"Cepillo de alambre 64 pinceles de acero inoxidable, TRUPER"
10664,ABT-786,"Disco de 4-1/2' para corte de metal, tipo 41, TRUPER"
10665,ABT-787,"Disco de 7' para corte de metal, tipo 41, TRUPER"
10666,ABT-783,"Disco Tipo 42 de 7' x 3.2 mm para corte de metal, TRUPER"
10667,ABT-779,"Disco Tipo 27 de 9' x 6.4 mm para desbaste de metal, TRUPER"
10669,ABT-389,Disco Tipo 27 de 7' x 7.2 mm desbaste de acero inoxidable
10677,BROU-CO-7/8X,"Broca para router, collarín, 7/8' con balero, TRUPER"
10743,MAJA-4,"Maneral de 4' con jaula para rodillo, TRUPER"
10748,FA-55M,Flexómetro Auto-Lock contra impactos 5.5 m cinta 25 mm
10750,BAP-100,"Barreta de punta de 7/8' x 100 cm, escoplo 60 mm, TRUPER"
10751,DTROM-7,"Desarmador tipo trompo con 7 puntas, TRUPER"
10753,BAP-125,"Barreta de punta de 7/8' x 125 cm, escoplo 60 mm, TRUPER"
10754,MCIM-16,"Martillo tubular para cimbra 16 oz uña recta, mango acero"
10756,BAP-150,"Barreta de punta de 1'x150 cm, escoplo 72 mm, TRUPER"
10758,PUN-61,Juego de 61 puntas mixtas largo 1' en estuche plástico
10760,LACA-3D,"Linterna de LED para campamento, tipo farol, de Pilas 3 D"
10762,BAP-175,"Barreta de punta de 1'x175 cm, escoplo 72 mm, TRUPER"
10765,BAP-175X,"Barreta de punta de 1-1/4' x 175 cm, escoplo 80 mm, TRUPER"
10773,LT-44,"Lona de polietileno reforzada 4 x 4 m, gris, 180g/m2, TRUPER"
10775,LT-55,"Lona de polietileno reforzada 5 x 5 m, gris, 180g/m2, TRUPER"
10777,LT-66,"Lona de polietileno reforzada 6 x 6 m, gris, 180g/m2, TRUPER"
